"filename", "language", "TypeScript", "HTML", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\day-offs\admin-approved\admin-approved.component.css", "CSS", 0, 0, 19, 0, 10, 3, 32
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\day-offs\admin-approved\admin-approved.component.html", "HTML", 0, 115, 0, 0, 0, 1, 116
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\day-offs\admin-approved\admin-approved.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\day-offs\admin-approved\admin-approved.component.ts", "TypeScript", 96, 0, 0, 0, 0, 5, 101
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\day-offs\admin-need-approval\admin-need-approval.component.css", "CSS", 0, 0, 19, 0, 10, 4, 33
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\day-offs\admin-need-approval\admin-need-approval.component.html", "HTML", 0, 114, 0, 0, 0, 1, 115
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\day-offs\admin-need-approval\admin-need-approval.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\day-offs\admin-need-approval\admin-need-approval.component.ts", "TypeScript", 95, 0, 0, 0, 0, 5, 100
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\day-offs\approved-summary\approved-summary.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\day-offs\approved-summary\approved-summary.component.html", "HTML", 0, 37, 0, 0, 0, 3, 40
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\day-offs\approved-summary\approved-summary.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\day-offs\approved-summary\approved-summary.component.ts", "TypeScript", 35, 0, 0, 0, 0, 5, 40
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\day-offs\day-offs-routing.module.ts", "TypeScript", 16, 0, 0, 0, 0, 3, 19
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\day-offs\day-offs.module.ts", "TypeScript", 64, 0, 0, 0, 0, 4, 68
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\day-offs\upload\upload.component.html", "HTML", 0, 74, 0, 0, 1, 6, 81
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\day-offs\upload\upload.component.scss", "SCSS", 0, 0, 0, 142, 2, 19, 163
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\day-offs\upload\upload.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\day-offs\upload\upload.component.ts", "TypeScript", 80, 0, 0, 0, 0, 9, 89
